description,monthly_installment,list_price,model,milleage,gear_type,location
2022 Toyota Hilux 2.8 Rogue Dual Cab Pickup,"RM 1,528 / month",,Toyota Hilux,25 - 30K KM,Automatic,"Kedah , Alor Setar"
2022 Honda City 1.5 S Sedan,,,Honda City,55902 KM,Automatic,"Selangor , Petaling Jaya"
2021/2025 Audi Rs6 4.0 Avant Wagon - NOGARO EDITION SUPER ...,"RM 19,446 / month","RM 1,500,000",,50 - 55K KM,Automatic,"Kuala Lumpur , KLCC"
2022 Honda City 1.5 V Sedan,RM 869 / month,"RM 67,000",Honda City,75 - 80K KM,Automatic,"Kedah , Alor Setar"
2012 Proton Preve 1.6 Executive Sedan,,,Proton Preve,165586 KM,Manual,"Selangor , Petaling Jaya"
2018 Mercedes-Benz A250 2.0 AMG Line Hatchback,,,Mercedes-Benz A250,50444 KM,Automatic,"Selangor , Petaling Jaya"
2020 BMW 320i 2.0 M Sport Sedan - (A) PREMIUM SELECTION   ...,,,BMW 320i,95 - 100K KM,Automatic,"Penang , Bukit Mertajam"
2022 BMW 530i 2.0 M Sport Sedan - Special Promotion,"RM 2,813 / month","RM 217,000",BMW 530i,65 - 70K KM,Automatic,"Kedah , Alor Setar"
2024 BMW M340i 3.0 M Sport Pro Sedan - End Of The Year Pro...,Special offer - call now!,,,27000 KM,Automatic,"Negeri Sembilan , Seremban"
2019 BMW 330e 2.0 M Sport Sedan - (A),RM 905 / month,,BMW 330e,75 - 80K KM,Automatic,"Penang , Bukit Mertajam"
2025 BYD Sealion 7 Premium SUV - 0.0 - Demo Unit,"RM 2,072 / month",,,0 - 5K KM,Automatic,"Penang , Bukit Mertajam"
2022 BMW 530i 2.0 M Sport Sedan - (A) PREMIUM SELECTION   ...,"RM 2,966 / month",,BMW 530i,65 - 70K KM,Automatic,"Penang , Bukit Mertajam"
2022 Nissan Serena 2.0 S-Hybrid High-Way Star Premium MPV ...,,,Nissan Serena,40 - 45K KM,Automatic,"Penang , Bukit Mertajam"
2018 GWM Haval H1 1.5 Comfort SUV - (A) Condition like new...,RM 179 / month,"RM 13,800",GWM Haval H1,100 - 105K KM,Automatic,"Kuala Lumpur , Sungai Besi"
2021 Lamborghini Urus 4.0 SUV - Register 2024 Direct Owner...,"RM 14,909 / month","RM 1,150,000",,35 - 40K KM,Automatic,"Kuala Lumpur , Bukit Bintang"
2015 Ford Fiesta 1.0 Ecoboost Hatchback - Sport (A) Cashba...,RM 192 / month,"RM 14,800",Ford Fiesta,95 - 100K KM,Automatic,"Kuala Lumpur , Sungai Besi"
2019 Mercedes-Benz GLC300 2.0 4MATIC AMG Line MC SUV,"RM 2,461 / month","RM 189,800",Mercedes-Benz GLC300,70 - 75K KM,Automatic,"Johor , Johor Bahru"
2017 Ford Ranger 2.2 XLT High Rider Dual Cab Pickup - 1 Ca...,RM 775 / month,"RM 59,800",Ford Ranger,90 - 95K KM,Automatic,"Johor , Johor Bahru"
2020 BMW X5 3.0 xDrive45e M Sport SUV,"RM 2,331 / month","RM 179,800",BMW X5,70 - 75K KM,Automatic,"Johor , Johor Bahru"
2012 Ford Fiesta 1.6 Sport Hatchback - Ti-VCT (A) Offer Ca...,RM 140 / month,"RM 10,800",Ford Fiesta,95 - 100K KM,Automatic,"Kuala Lumpur , Sungai Besi"
2016 Chery Maxime 2.0 Premium MPV - B14 FL CVT (A) Cashbac...,RM 166 / month,"RM 12,800",Chery Maxime,100 - 105K KM,Automatic,"Kuala Lumpur , Sungai Besi"
2016 Perodua Bezza 1.3 Advance Sedan - PALING JIMAT FULL S...,RM 381 / month,"RM 29,400",Perodua Bezza,110 - 115K KM,Automatic,"Penang , Juru"
2023 Proton X50 1.5 Executive SUV,RM 866 / month,"RM 66,800",,35 - 40K KM,Automatic,"Johor , Johor Bahru"
2013 Honda Civic 1.8 S Sedan - (7 Years Loan),RM 460 / month,,Honda Civic,175 - 180K KM,Automatic,"Johor , Johor Bahru"
2013 Honda Civic 1.8 S Sedan - (7 Years Loan),RM 460 / month,,Honda Civic,175 - 180K KM,Automatic,"Johor , Johor Bahru"
2025 BMW i4 eDrive35 Coupe - LCI- Special Deals,"RM 2,982 / month","RM 230,000",,0 - 5K KM,Automatic,"Kedah , Alor Setar"
2016 Mitsubishi ASX 2.0 SUV,RM 491 / month,,Mitsubishi ASX,115 - 120K KM,Automatic,"Penang , Juru"
2019 Perodua Myvi 1.3 X Hatchback - (Bulanan Rendah) (Ada ...,RM 463 / month,,Perodua Myvi,110 - 115K KM,Automatic,"Kuala Lumpur , Setiawangsa"
2017 Perodua AXIA 1.0 G Hatchback - (Bulanan Rendah) (Sena...,RM 313 / month,,Perodua AXIA,100 - 105K KM,Automatic,"Kuala Lumpur , Setiawangsa"
2015 Proton Iriz 1.6 Premium Hatchback - (Bulanan Rendah) ...,RM 264 / month,"RM 20,400",Proton Iriz,95 - 100K KM,Automatic,"Kuala Lumpur , Setiawangsa"
2019 Toyota Yaris 1.5 E Hatchback - STYLE RELIABILITY BULA...,RM 710 / month,"RM 54,800",Toyota Yaris,85 - 90K KM,Automatic,"Penang , Juru"
2015 Proton Saga 1.3 FLX Standard Sedan - EKONOMI LASAK   ...,RM 182 / month,"RM 14,000",Proton Saga,130 - 135K KM,Automatic,"Penang , Juru"
2022 Proton Iriz 1.6 Active Hatchback - (Milej rendah Kond...,RM 526 / month,"RM 40,600",Proton Iriz,45 - 50K KM,Automatic,"Kuala Lumpur , Setiawangsa"
2015 Perodua AXIA 1.0 SE Hatchback - (Good Condition) (Bul...,RM 283 / month,"RM 21,800",Perodua AXIA,70 - 75K KM,Automatic,"Kuala Lumpur , Setiawangsa"
2018 Perodua Myvi 1.5 AV Hatchback,RM 506 / month,,Perodua Myvi,130 - 135K KM,Automatic,"Kedah , Alor Setar"
2017 Honda BR-V 1.5 V SUV - (LOW INSTALLMENT) (GOOD CONDIT...,RM 543 / month,"RM 41,900",Honda BR-V,100 - 105K KM,Automatic,"Kuala Lumpur , Setiawangsa"
2022 Honda Civic 1.5 RS Sedan - (ADA PROMO NEW YEAR) (VERY...,,,Honda Civic,15 - 20K KM,Automatic,"Kuala Lumpur , Setiawangsa"
2017 Toyota Vios 1.5 E Sedan,RM 570 / month,"RM 44,000",Toyota Vios,148991 KM,Automatic,"Selangor , Petaling Jaya"
2018 Mazda 3 2.0 SKYACTIV-G GL Sedan,RM 944 / month,"RM 72,800",Mazda 3,95 - 100K KM,Automatic,"Perak , Sitiawan"
2020 Honda CR-V 1.5 TC-P SUV,"RM 1,294 / month","RM 99,800",Honda CR-V,94579 KM,Automatic,"Selangor , Petaling Jaya"
2020 Proton Persona 1.6 Standard Sedan,RM 381 / month,"RM 29,400",Proton Persona,78389 KM,Automatic,"Selangor , Petaling Jaya"
2014 Toyota Vios 1.5 TRD Sportivo Sedan,RM 498 / month,"RM 38,400",Toyota Vios,96851 KM,Automatic,"Selangor , Petaling Jaya"
2020 Honda HR-V 1.8 RS SUV,"RM 1,024 / month","RM 79,000",Honda HR-V,95 - 100K KM,Automatic,"Johor , Johor Bahru"
2015 Mitsubishi ASX 2.0 SUV - HOT Auto,Special offer - call now!,,Mitsubishi ASX,100 - 105K KM,Automatic,"Selangor , Cheras"
2021 Mazda CX-5 2.0 SKYACTIV-G High SUV - HOT Auto,Special offer - call now!,,Mazda CX-5,90 - 95K KM,Automatic,"Selangor , Cheras"
2017 Mazda 3 2.0 SKYACTIV-G Hatchback,RM 804 / month,"RM 62,000",Mazda 3,136525 KM,Automatic,"Selangor , Petaling Jaya"
2016 Honda City 1.5 E Sedan,RM 490 / month,"RM 37,800",Honda City,147234 KM,Automatic,"Selangor , Petaling Jaya"
2016 Honda City 1.5 E Sedan,RM 490 / month,"RM 37,800",Honda City,134336 KM,Automatic,"Selangor , Petaling Jaya"
2016 Mercedes-Benz CLA250 2.0 4MATIC Coupe,"RM 1,180 / month","RM 91,000",Mercedes-Benz CLA250,70233 KM,Automatic,"Selangor , Petaling Jaya"
2016 Honda City 1.5 S Plus Sedan,RM 462 / month,"RM 35,600",Honda City,111199 KM,Automatic,"Selangor , Petaling Jaya"
2016 Perodua Myvi 1.5 SE Hatchback,RM 402 / month,"RM 31,000",Perodua Myvi,159801 KM,Automatic,"Selangor , Petaling Jaya"
2023 Toyota Hilux 2.4 E Dual Cab Pickup,Special offer - call now!,,Toyota Hilux,30 - 35K KM,Automatic,"Kelantan , Kota Bharu"
2024 Perodua AXIA 1.0 G Hatchback,Special offer - call now!,,Perodua AXIA,20 - 25K KM,Automatic,"Kelantan , Kota Bharu"
2010 Honda Stream 1.8 - MPV,RM 376 / month,"RM 29,000",Honda Stream,205 - 210K KM,Automatic,"Kuala Lumpur , Chan Sow Lin"
2024 Perodua AXIA 1.0 X Hatchback,RM 493 / month,"RM 38,000",Perodua AXIA,110 - 115K KM,Automatic,"Perak , Sitiawan"
2019 Toyota C-HR 1.8 SUV - GOOD CONDITION,"RM 1,112 / month","RM 85,800",Toyota C-HR,80 - 85K KM,Automatic,"Kuala Lumpur , Chan Sow Lin"
2016 Honda City 1.5 E Sedan - HOT Auto,Special offer - call now!,,Honda City,120 - 125K KM,Automatic,"Selangor , Cheras"
2018 Honda HR-V 1.8 V Mugen SUV - HOT Auto,Special offer - call now!,,Honda HR-V,115 - 120K KM,Automatic,"Selangor , Cheras"
2019 Honda City 1.5 E Sedan,RM 644 / month,"RM 49,700",Honda City,90 - 95K KM,Automatic,"Kuala Lumpur , Chan Sow Lin"
2017 Toyota Harrier 2.0 Elegance SUV,"RM 1,167 / month","RM 90,000",Toyota Harrier,130 - 135K KM,Automatic,"Kedah , Alor Setar"
2021 Honda Civic 1.5 TC-P Sedan - MILEAGE 23K,"RM 1,353 / month","RM 104,399",Honda Civic,20 - 25K KM,Automatic,"Johor , Masai"
2021 Perodua Ativa 1.0 AV SUV - (EXCELLENT CONDITION),RM 723 / month,,,70 - 75K KM,Automatic,"Kuala Lumpur , Chan Sow Lin"
2020 Proton X50 1.5 Executive SUV,RM 850 / month,"RM 65,600",,55 - 60K KM,Automatic,"Kedah , Alor Setar"
2023/2024 BMW M340i 3.0 G20 4dr xDrive M Sport Pro SA 8sp ...,"RM 4,003 / month",,,25K-30K KM,Automatic,"Negeri Sembilan , Seremban"
2017 Volkswagen Passat 2.0 TSI Highline Sedan,RM 738 / month,"RM 56,900",Volkswagen Passat,120 - 125K KM,Automatic,"Kuala Lumpur , Chan Sow Lin"
2015 Proton Saga 1.3 SV Sedan - (Easy Loan Approval) (Year...,RM 187 / month,"RM 14,400",Proton Saga,125 - 130K KM,Automatic,"Kuala Lumpur , Setapak"
2021 Mazda CX-5 2.0 SKYACTIV-G High SUV - (A),,,Mazda CX-5,100 - 105K KM,Automatic,"Penang , Bukit Mertajam"
2023 Mitsubishi Triton 2.4 VGT Dual Cab 4X4 Pickup,RM 971 / month,"RM 74,888",Mitsubishi Triton,25 - 30K KM,Automatic,"Sarawak , Kuching"
2018 Honda Jazz 1.5 S Hatchback,RM 583 / month,"RM 44,999",Honda Jazz,90 - 95K KM,Automatic,"Johor , Masai"
2020 BMW 320i 2.0 M Sport Sedan - Under Warrany until 2027...,"RM 1,501 / month","RM 115,800",BMW 320i,65 - 70K KM,Automatic,"Selangor , Petaling Jaya"
2018 BMW 530e 2.0 Sport Line iPerformance Sedan - Sport Fu...,RM 957 / month,"RM 73,800",BMW 530e,75 - 80K KM,Automatic,"Selangor , Petaling Jaya"
2022 BMW X1 2.0 sDrive20i M Sport SUV - 35k KM with Full S...,"RM 1,527 / month","RM 117,800",BMW X1,35 - 40K KM,Automatic,"Selangor , Petaling Jaya"
2019 BMW X5 2.0 xDrive40e M Sport SUV - xDrive40e M-Perfor...,"RM 1,216 / month","RM 93,800",BMW X5,85 - 90K KM,Automatic,"Selangor , Petaling Jaya"
2019 Lexus NX 300 2.0 Premium SUV - F SPORT FREE WARRANTY ...,"RM 1,852 / month","RM 142,888",,70 - 75K KM,Automatic,"Selangor , Cheras"
2022 Honda Civic 1.5 E Sedan,"RM 1255 / month","RM 96,800",	Honda Civic	20 - 25K KM	Automatic	Perak , Ipoh
2018 Mazda CX-5 2.2 SKYACTIV-D GLS SUV - FULL SERVICE BY B...,	RM 681 / month,"RM 52,500",Mazda CX-5	90 - 95K KM	Automatic	Kuala Lumpur , Old Klang Road
2022 Honda Civic 1.5 E Sedan,"RM 1,255 / month","RM 96,800",Honda Civic,20 - 25K KM,Automatic,"Perak , Ipoh",,,,,1099,
2018 Mazda CX-5 2.2 SKYACTIV-D GLS SUV - FULL SERVICE BY B...,RM 681 / month,"RM 52,500",Mazda CX-5,90 - 95K KM,Automatic,"Kuala Lumpur , Old Klang Road",,,,,,
2022 Subaru XV 2.0 GT Edition EyeSight SUV,"RM 1,099 / month","RM 84,800",Subaru XV,35 - 40K KM,Automatic,"Perak , Ipoh",,,,,,
2013 Toyota Avanza 1.5 E (Metallic) MPV - E One Onwer Full...,RM 285 / month,"RM 22,000",Toyota Avanza,80 - 85K KM,Automatic,"Kuala Lumpur , Old Klang Road",,,,,,
2022 MINI Countryman 2.0 Cooper S SUV - F60 FACELIFT CKD W...,"RM 2,059 / month","RM 158,800",MINI Countryman,50 - 55K KM,Automatic,"Kuala Lumpur , Old Klang Road",,,,,,
2013 Toyota Vios 1.5 TRD Sportivo Sedan,RM 412 / month,"RM 31,800",Toyota Vios,110 - 115K KM,Automatic,"Johor , Johor Bahru",,,,,,
2016 Honda Jazz 1.5 E Hatchback - One Owner Full Service B...,RM 467 / month,"RM 35,999",Honda Jazz,95 - 100K KM,Automatic,"Kuala Lumpur , Old Klang Road",,,,,,
2019 Mercedes-Benz C200 1.5 AMG Line Sedan - CHINESE NEW Y...,"RM 1,426 / month","RM 110,000",Mercedes-Benz C200,75 - 80K KM,Automatic,"Selangor , Subang Jaya",,,,,,
2021 Perodua Bezza 1.3 X Sedan,RM 490 / month,"RM 37,800",Perodua Bezza,40 - 45K KM,Automatic,"Perak , Tanjong Rambutan",,,,,,
2017 Mercedes-Benz GLA180 1.6 AMG SUV - ONE OWNER FREE WAR...,RM 985 / month,"RM 75,999",Mercedes-Benz,55 - 60K KM,Automatic,"Kuala Lumpur , Old Klang Road",,,,,,
2019 Kia Cerato 1.6 KX Sedan - 20K KM FULL SERVICE BY ONE ...,RM 616 / month,"RM 47,500",Kia Cerato,20 - 25K KM,Automatic,"Kuala Lumpur , Old Klang Road",,,,,,
2018 Mitsubishi Outlander 2.0 SUV - FREE WARRANTY ONE OWNE...,RM 661 / month,"RM 50,999",Mitsubishi Outlander,85 - 90K KM,Automatic,"Kuala Lumpur , Old Klang Road",,,,,,
2023 Toyota Hilux 2.4 E Dual Cab Pickup,"RM 1,281 / month","RM 98,800",Toyota Hilux,30 - 35K KM,Automatic,"Kelantan , Kota Bharu",,,,,,
2019 Proton X70 1.8 TGDI Premium SUV,RM 685 / month,"RM 52,800",Proton X70,110 - 115K KM,Automatic,"Kelantan , Kota Bharu",,,,,,
2019 Mercedes-Benz C200 1.5 AMG Line Sedan - WITH FREE WAR...,"RM 1,452 / month","RM 111,999",Mercedes-Benz C200,55 - 60K KM,Automatic,"Kuala Lumpur , Old Klang Road",,,,,,
2021 Honda CR-V 1.5 TC-P SUV - 50K KM FOR SERVICE UNDER WA...,"RM 1,316 / month","RM 101,500",Honda CR-V,50 - 55K KM,Automatic,"Kuala Lumpur , Old Klang Road",,,,,,
2024 Honda City 1.5 S Hatchback,RM 843 / month,"RM 65,000",Honda City,15 - 20K KM,Automatic,"Penang , Georgetown",,,,,,
2017 BMW X5 2.0 xDrive40e M Sport SUV - ONE OWNER 80K KM O...,RM 827 / month,"RM 63,800",BMW X5,80 - 85K KM,Automatic,"Kuala Lumpur , Old Klang Road",,,,,,
2023 Toyota Vios 1.5 G Sedan - NEW CAR INTEREST RATE UNDER...,RM 927 / month,"RM 71,500",Toyota Vios,20 - 25K KM,Automatic,"Kuala Lumpur , Old Klang Road",,,,,,
2015 Mercedes-Benz A200 1.6 Hatchback - A45 look alike Gen...,RM 804 / month,"RM 61,999",Mercedes-Benz A200,80 - 85K KM,Automatic,"Kuala Lumpur , Old Klang Road",,,,,,
2016 Mercedes-Benz C250 2.0 AMG Line Sedan - Local CKD Fre...,"RM 1,147 / month","RM 88,500",Mercedes-Benz C250,80 - 85K KM,Automatic,"Kuala Lumpur , Old Klang Road",,,,,,
2017 Nissan Almera 1.5 E Sedan,RM 373 / month,"RM 28,800",Nissan Almera,120 - 125K KM,Automatic,"Perak , Ipoh",,,,,,
2023 Mercedes-Benz GLC300 2.0 4MATIC AMG Line SUV - FULL S...,"RM 3,565 / month","RM 275,000",Mercedes-Benz GLC300,35 - 40K KM,Automatic,"Kuala Lumpur , Old Klang Road",,,,,,
2021 Mazda CX-5 2.0 SKYACTIV-G High SUV - 6YRS WARRANTY AN...,"RM 1,141 / month","RM 87,999",Mazda CX-5,75 - 80K KM,Automatic,"Kuala Lumpur , Old Klang Road",,,,,,
2022 Mercedes-Benz GLC200 2.0 AMG Line SUV - Under Warrant...,"RM 2,483 / month","RM 191,500",,35 - 40K KM,Automatic,"Kuala Lumpur , Old Klang Road",,,,,,
2018 Mazda CX-5 2.2 SKYACTIV-D GLS SUV - FREE 3YRS WARRANT...,RM 681 / month,"RM 52,500",Mazda CX-5,95 - 100K KM,Automatic,"Kuala Lumpur , Old Klang Road",,,,,,
2014 BMW 118i 1.6 Sport Hatchback - Low Mile LOCAL MODEL  ...,RM 428 / month,"RM 33,000",BMW 118i,90 - 95K KM,Automatic,"Selangor , Shah Alam",,,,,,
2014 Perodua Alza 1.5 Advance MPV - Good Condition,RM 322 / month,"RM 24,800",Perodua Alza,125 - 130K KM,Automatic,"Kuala Lumpur , Cheras",,,,,,
2018 Volvo XC60 2.0 T5 Momentum SUV - Mile 67K KM Full Ser...,"RM 1,374 / month","RM 106,000",Volvo XC60,65 - 70K KM,Automatic,"Selangor , Shah Alam",,,,,,
2020 Mazda 3 2.0 SKYACTIV-G High Plus Sedan - FULL Service...,"RM 1,011 / month","RM 77,999",Mazda 3,130 - 135K KM,Automatic,"Kuala Lumpur , Kuchai Lama",,,,,,
2019 Toyota Camry 2.5 V Sedan,"RM 1,411 / month","RM 108,800",Toyota Camry,75 - 80K KM,Automatic,"Johor , Johor Bahru",,,,,,
2022 Subaru XV 2.0 GT Edition EyeSight SUV - (A)i-P EyeSig...,"RM 1,035 / month","RM 79,800",Subaru XV,65 - 70K KM,Automatic,"Penang , Butterworth",,,,,,
2014 Honda City 1.5 V Sedan - I-VTEC CVT PUSH START FULL S...,RM 424 / month,"RM 32,707",Honda City,110 - 115K KM,Automatic,"Kuala Lumpur , Cheras",,,,,,
2016 Honda City 1.5 E Sedan - (A) i-VTEC PREMIUM PUSHSTART...,RM 360 / month,"RM 27,800",Honda City,85 - 90K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2016 Nissan X-Trail 2.0 SUV - (A) 2WD PREMIUM 7 SEATER 360...,RM 399 / month,"RM 30,800",Nissan X-Trail,90 - 95K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2021 Nissan Almera 1.0 VL Sedan - (A) TURBO PUSHSTART KEYL...,RM 529 / month,"RM 40,800",Nissan Almera,50 - 55K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2005 Honda Odyssey 2.4 MPV - FACELIFT (A) RB1 NICE PLATE N...,RM 283 / month,"RM 21,800",Honda Odyssey,95 - 100K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2018 Nissan Serena 2.0 S-Hybrid High-Way Star MPV - L CVT ...,RM 749 / month,"RM 57,800",Nissan Serena,70 - 75K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2019 Nissan X-Trail 2.0 Mid SUV - (A) 2WD 7 SEAT 360 R CAM...,RM 633 / month,"RM 48,800",Nissan X-Trail,65 - 70K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2018 Honda City 1.5 E Sedan - (A) i-VTEC PREMIUM PUSHSTART...,RM 490 / month,"RM 37,800",Honda City,60 - 65K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2021 Honda City 1.5 E Sedan - FACELIFT (A) i-VTEC PREMIUM ...,RM 672 / month,"RM 51,800",Honda City,95 - 100K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2018 Ford Ranger 2.0 Raptor High Rider Dual Cab Pickup - 4...,"RM 1,112 / month","RM 85,800",Ford Ranger,60 - 65K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2019 Honda HR-V 1.8 V SUV - FL (A) i-VTEC PREMIUM FULL SPE...,RM 762 / month,"RM 58,800",Honda HR-V,60 - 65K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2022 Ford Ranger 2.0 XLT Plus Dual Cab Pickup - T9 10 SPEE...,"RM 1,164 / month","RM 89,800",Ford Ranger,40 - 45K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2021 Honda City 1.5 S Sedan - FACELIFT (A) i-VTEC PREMIUM ...,RM 633 / month,"RM 48,800",Honda City,95 - 100K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2022 Honda City 1.5 V Sedan - FL (A) i-VTEC PREMIUM FULL S...,RM 775 / month,"RM 59,800",Honda City,50 - 55K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2023 Mitsubishi Triton 2.4 VGT Dual Cab 4X4 Pickup,"RM 1,211 / month","RM 93,400",Mitsubishi Triton,40 - 45K KM,Automatic,"Perak , Ipoh",,,,,,
2021 Honda City 1.5 V Sedan - FL (A) i-VTEC PREMIUM FULL S...,RM 697 / month,"RM 53,800",Honda City,85 - 90K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2015 Nissan Serena 2.0 S-Hybrid High-Way Star MPV - R CAME...,RM 451 / month,"RM 34,800",Nissan Serena,90 - 95K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2020 Honda City 1.5 S Sedan - FACELIFT (A) i-VTEC PREMIUM ...,RM 620 / month,"RM 47,800",Honda City,55 - 60K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2012 Proton Preve 1.6 Executive Sedan - TRUE YEAR MADE (A)...,RM 140 / month,"RM 10,800",Proton Preve,145 - 150K KM,Automatic,"Kuala Lumpur , Gombak",,,,,,
2015/2017 Toyota Vellfire 2.5 ZA MPV - Pre Crash - Ori Con...,"RM 1,411 / month","RM 108,800",Toyota Vellfire,80 - 85K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2009/2012 Toyota Alphard 3.5 350G L Package MPV - 350 V6 G...,RM 529 / month,"RM 40,800",Toyota Alphard,90 - 95K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2018 Mazda 2 1.5 SKYACTIV-G (LED Headlight with DRL) Sedan...,RM 477 / month,"RM 36,800",Mazda 2,75 - 80K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2019 Perodua Aruz 1.5 AV SUV,RM 640 / month,"RM 49,400",Perodua Aruz,90 - 95K KM,Automatic,"Kelantan , Kota Bharu",,,,,,
2018 Subaru XV 2.0 P SUV - I-P (A) AWD FACELIFT PUSHSTART ...,RM 503 / month,"RM 38,800",Subaru XV,70 - 75K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2014 Honda City 1.5 S Plus Sedan - S (A) i-VTEC MODULO BOD...,RM 296 / month,"RM 22,800",Honda City,90 - 95K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2008 Toyota Vios 1.5 G Sedan - One Owners - Original Condi...,RM 198 / month,"RM 15,300",Toyota Vios,220 - 225K KM,Automatic,"Kuala Lumpur , Cheras",,,,,,
2016 Nissan X-Trail 2.0 SUV - (A) 2WD PREMIUM 7 SEATER FUL...,RM 373 / month,"RM 28,800",Nissan X-Trail,90 - 95K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2009/2012 Toyota Estima 2.4 Aeras MPV - X FACELIFT AREAS 2...,RM 503 / month,"RM 38,800",Toyota Estima,95 - 100K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2023 Perodua Bezza 1.3 X Sedan,RM 542 / month,"RM 41,800",Perodua Bezza,35 - 40K KM,Automatic,"Kelantan , Kota Bharu",,,,,,
2012 Honda CR-Z 1.5 Hybrid Hatchback - (A) SPORT RIMS BODY...,RM 360 / month,"RM 27,800",Honda CR-Z,95 - 100K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2015 Mercedes-Benz S400L h 3.5 Sedan - S400 L (A) Hybrid W...,RM 736 / month,"RM 56,800",Mercedes-Benz,60 - 65K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2022 Lexus IS 300 2.0 F Sport Sedan - MARK LEVINSON TRD BO...,"RM 3,290 / month","RM 253,800",Lexus,45 - 50K KM,Automatic,"Kuala Lumpur , Jalan Kuching",,,,,,
2014 Toyota Vios 1.5 G Sedan,RM 425 / month,"RM 32,800",Toyota Vios,175 - 180K KM,Automatic,"Kelantan , Kota Bharu",,,,,,
2021 Mazda CX-5 2.0 SKYACTIV-G High SUV - GLS (A) 2WD SPEC...,"RM 1,086 / month","RM 83,800",Mazda CX-5,55 - 60K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2018 Subaru XV 2.0 P SUV - I-P (A) AWD FACELIFT PUSHSTART ...,RM 503 / month,"RM 38,800",Subaru XV,70 - 75K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2016 Nissan X-Trail 2.0 SUV - (A) 2WD STD 7 SEATER KEYLES ...,RM 360 / month,"RM 27,800",Nissan X-Trail,90 - 95K KM,Automatic,"Selangor , Seri Kembangan",,,,,,
2019 Honda HR-V 1.8 E SUV,RM 791 / month,"RM 61,000",Honda HR-V,100 - 105K KM,Automatic,"Kelantan , Kota Bharu",,,,,,
2019 Honda City 1.5 Hybrid Sedan - FULL SERVICE RECORD LOW...,RM 503 / month,"RM 38,800",Honda City,95 - 100K KM,Automatic,"Kuala Lumpur , Cheras",,,,,,
2024 JAECOO Omoda C9 2.0 Matte Grey Colour SUV - Pearl Whi...,"RM 1,956 / month","RM 150,888",JAECOO,0 - 5K KM,Automatic,"Kuala Lumpur , Bangsar",,,,,,
2025 JAECOO J7 1.6 SUV - Super Affordable used 2WD Demo Ca...,"RM 1,476 / month","RM 113,888",JAECOO,0 - 5K KM,Automatic,"Kuala Lumpur , Bangsar",,,,,,
2015 Honda City 1.5 E Sedan - FULL SERVICE RECORD 1 LADY O...,RM 347 / month,"RM 26,800",Honda City,130 - 135K KM,Automatic,"Kuala Lumpur , Cheras",,,,,,
2009/2010 Mitsubishi Lancer 2.0 GT Sedan - LOANKEDAI Paddl...,RM 438 / month,"RM 33,800",Mitsubishi Lancer,180 - 185K KM,Automatic,"Selangor , Kajang",,,,,,
2021 Honda City 1.5 V Sedan - FULL SERVICE RECORD 1 LADY O...,RM 736 / month,"RM 56,800",Honda City,70 - 75K KM,Automatic,"Kuala Lumpur , Cheras",,,,,,
2018 Ford Ranger 2.2 XLT FX4 Dual Cab Pickup - XLT 4WD A F...,RM 592 / month,"RM 45,700",Ford Ranger,55 - 60K KM,Automatic,"Selangor , Klang",,,,,,
2019 Honda HR-V 1.8 RS SUV - (A),RM 892 / month,"RM 68,800",Honda HR-V,95 - 100K KM,Automatic,"Perak , Ipoh",,,,,,
2021 Proton Saga 1.3 Premium Sedan - (A) 67K LOW MILEAGE 3...,RM 283 / month,"RM 21,800",Proton Saga,65 - 70K KM,Automatic,"Kuala Lumpur , Cheras",,,,,,
2022 Honda City 1.5 V Sensing Hatchback - FULL SERVICE UND...,RM 892 / month,"RM 68,800",Honda City,45 - 50K KM,Automatic,"Kuala Lumpur , Cheras",,,,,,
